,Event,Category,Date,Team,Swimmer,Time
67, Event 10  Men 200 Yard Freestyle,American,2019-03-27,Harvard,Dean Farris,1900-01-01 00:01:29.150
68, Event 10  Men 200 Yard Freestyle,U. S. Open,2019-03-27,Harvard,Dean Farris,1900-01-01 00:01:29.150
69, Event 10  Men 200 Yard Freestyle,Pool,2018-03-22,Texas,Townley Haas,1900-01-01 00:01:29.500
75, Event 11  Men 100 Yard Breaststroke,NCAA,2018-03-23,Indiana,Ian Finnerty,1900-01-01 00:00:49.690
76, Event 11  Men 100 Yard Breaststroke,Meet,2018-03-23,Indiana,Ian Finnerty,1900-01-01 00:00:49.690
77, Event 11  Men 100 Yard Breaststroke,American,2018-03-23,Indiana,Ian Finnerty,1900-01-01 00:00:49.690
78, Event 11  Men 100 Yard Breaststroke,U. S. Open,2018-03-23,Indiana,Ian Finnerty,1900-01-01 00:00:49.690
79, Event 11  Men 100 Yard Breaststroke,Pool,2018-03-24,Indiana,Ian Finnerty,1900-01-01 00:00:49.690
85, Event 12  Men 100 Yard Backstroke,NCAA,2022-03-25,Georgia,Luca Urlando,1900-01-01 00:00:43.350
86, Event 12  Men 100 Yard Backstroke,Meet,2022-03-25,Georgia,Luca Urlando,1900-01-01 00:00:43.350
87, Event 12  Men 100 Yard Backstroke,American,2022-03-25,Georgia,Luca Urlando,1900-01-01 00:00:43.350
88, Event 12  Men 100 Yard Backstroke,U. S. Open,2022-03-25,Georgia,Luca Urlando,1900-01-01 00:00:43.350
89, Event 12  Men 100 Yard Backstroke,Pool,2023-03-24,Indiana,Brendan Burns,1900-01-01 00:00:43.610
95, Event 14  Men 400 Yard Medley Relay,NCAA,2023-03-24,Florida,"A Chaney, D Hillis, J Liendo, M McDuff",1900-01-01 00:02:58.320
96, Event 14  Men 400 Yard Medley Relay,Meet,2023-03-24,Florida,"A Chaney, D Hillis, J Liendo, M McDuff",1900-01-01 00:02:58.320
97, Event 14  Men 400 Yard Medley Relay,American,2017-03-23,California,"R Murphy, C Hoppe, M Josa, M Jensen",1900-01-01 00:03:01.510
98, Event 14  Men 400 Yard Medley Relay,U. S. Open,2023-03-24,Florida,"A Chaney, D Hillis, J Liendo, M McDuff",1900-01-01 00:02:58.320
99, Event 14  Men 400 Yard Medley Relay,Pool,2023-03-24,Florida,"A Chaney, D Hillis, J Liendo, M McDuff",1900-01-01 00:02:58.320
